epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4398,4.03396,7.97012,2.07654,0.00016,0.02256,8e-05,1e-05,3.57669,7.14443,1.82904,6e-05,6e-05,6e-05
2,66.3793,2.95975,7.33694,1.26145,0.00063,0.09023,0.00036,8e-05,2.5492,6.28829,1.1579,0.000137228,0.000137228,0.000137228
3,98.2311,2.50507,5.95359,1.0667,0.00206,0.29323,0.00168,0.00044,2.0265,5.68191,0.96101,0.000211288,0.000211288,0.000211288
4,131.259,2.17151,4.37458,1.01681,0.00196,0.2782,0.00166,0.00037,1.94581,5.66667,0.96826,0.00028218,0.00028218,0.00028218
5,163.552,1.96197,4.09783,0.97291,0.00127,0.18045,0.00091,0.00019,1.95509,5.72001,0.96087,0.000349904,0.000349904,0.000349904
6,201.535,1.84643,3.65409,0.93288,0.00164,0.23308,0.00122,0.00029,1.82795,5.5618,0.93916,0.00041446,0.00041446,0.00041446
7,236.228,2.05846,3.84749,0.94165,0.00132,0.18797,0.00081,0.00026,1.77362,5.40814,0.92961,0.000475848,0.000475848,0.000475848
8,269.573,1.98229,2.89202,0.9402,0.00026,0.03759,0.00014,2e-05,1.78776,5.33854,0.92613,0.000534068,0.000534068,0.000534068
9,301.812,1.95778,3.1965,0.9177,0.00037,0.05263,0.00019,5e-05,1.71891,5.11318,0.91626,0.00058912,0.00058912,0.00058912
10,334.925,2.02024,3.03452,0.92182,0.00011,0.01504,5e-05,2e-05,1.73114,5.21364,0.91564,0.000641004,0.000641004,0.000641004
11,367.88,1.92432,3.25597,0.89983,0.00042,0.06015,0.00023,5e-05,1.94785,5.39886,0.94173,0.00068972,0.00068972,0.00068972
12,400.533,1.71083,2.70154,0.89855,0.00455,0.64662,0.00399,0.00198,1.71687,4.74871,0.90832,0.000735268,0.000735268,0.000735268
13,435.243,1.75497,2.49093,0.91069,0.00317,0.45113,0.0074,0.00342,1.87772,4.79148,0.92412,0.000777648,0.000777648,0.000777648
14,471.217,1.78526,2.77828,0.92377,0.00296,0.42105,0.00722,0.00394,2.06141,4.8861,0.94908,0.00081686,0.00081686,0.00081686
15,509.43,1.83145,3.0802,0.92859,0.00402,0.57143,0.0124,0.00757,1.99207,4.60965,0.94037,0.000852904,0.000852904,0.000852904
16,548.92,1.87838,2.44691,0.93383,1,0.06744,0.47177,0.23829,1.70651,3.91581,0.90179,0.00088578,0.00088578,0.00088578
17,589.92,1.75664,2.43268,0.91255,1,0.02438,0.67738,0.33251,1.68925,3.66511,0.90485,0.000915488,0.000915488,0.000915488
18,628.811,1.81887,2.63517,0.92099,1,0.0489,0.79167,0.37386,1.72315,3.42298,0.91284,0.000942028,0.000942028,0.000942028
